gl_pSerPort now points to active Serial (USB or Wixel)
7950: Starting setup() for WallE3_Complete_V2.ino

Checking for MPU6050 IMU at I2C Addr 0x68
MPU6050 connection successful
Initializing DMP...
Enabling DMP...
DMP ready! Waiting for MPU6050 drift rate to settle...
Calibrating...Retrieving Calibration Values


Msec	Hdg
10516	-0.051	-0.039
MPU6050 Ready at 10.52 Sec with delta = -0.013
Checking for Teensy 3.5 VL53L0X Controller at I2C addr 0x20
Teensy available at 11616 with gl_bVL53L0X_TeensyReady = 1. Waiting for Teensy setup() to finish
11619: got 1 from VL53L0X Teensy
Teensy setup() finished at 11721 mSec
VL53L0X Teensy Ready at 11723

Checking for Garmin LIDAR at Wire2 I2C addr 0x62
LIDAR Responded to query at Wire2 address 0x62!
Setting LIDAR acquisition repeat value to 0x02 for <100mSec measurement repeat delay
Initializing Front Distance Array...Done
Initializing Rear Distance Array...Done

Checking for Teensy 3.2 IRDET Controller at I2C addr 0x8
11812: IRDET Teensy Not Avail...
IRDET Teensy Ready at 11914
Fin1/Fin2/SteeringVal = 10	38	-0.5714
11916: Initializing IR Beam Value Averaging Array...Done
11919: Initializing IR Beam Value Averaging Array...Done
Battery Voltage = 8.13

14126:	Top of loop() - calling UpdateAllEnvironmentParameters()
Battery Voltage = 8.12
IRHomingValTotalAvg = 58 
14263: gl_LeftCenterCm = 22.00 gl_RightCenterCm = 200.00

TrackLeftWallOffset(350.0, 0.0, 0.0, 40) called

TrackLeftWallOffset: Start tracking offset of 40cm with gl_ElapsedSec = 14.1


Sec	LCen	RCen	Front	Rear	FVar	RVar	HdgDeg	ANOMALYCODE
7.5	33.0	102.0	967	200.0	73305	847	-0.4	NONE
7.6	35.0	101.0	1000	200.0	63565	704	-0.8	NONE
7.7	35.0	107.0	931	200.0	51584	570	-1.4	NONE
7.8	34.0	114.0	661	200.0	52026	402	-1.1	NONE
7.9	34.0	200.0	1000	200.0	48638	237	-0.1	NONE
8.0	34.0	200.0	777	200.0	48035	113	0.3	NONE
8.1	35.0	200.0	661	200.0	48387	 0	0.4	NONE
8.2	35.0	200.0	1000	200.0	35275	 0	0.9	NONE
8.3	35.0	200.0	541	200.0	25071	 0	1.9	NONE
8.4	35.0	200.0	130	200.0	45589	 0	3.1	NONE
8.5	35.0	200.0	125	200.0	63957	 0	4.6	NONE
8.6	35.0	200.0	120	200.0	80135	 0	4.3	NONE
8.7	36.0	200.0	116	200.0	94032	 0	3.3	NONE
8.8	37.0	200.0	112	200.0	105618	 0	2.5	NONE
8.9	39.0	112.0	1000	200.0	109012	 0	0.5	NONE
9.0	42.0	112.0	876	200.0	109331	 0	-2.8	NONE
9.1	42.0	98.0	536	200.0	109435	 0	-8.4	NONE
9.2	43.0	95.0	263	200.0	112699	 0	-12.4	NONE
9.3	42.0	80.0	229	200.0	119671	 0	-20.5	NONE
9.4	41.0	72.0	301	200.0	124616	 0	-34.5	NONE
9.5	44.0	65.0	849	200.0	121221	 0	-44.0	NONE
9.6	44.0	64.0	821	200.0	118092	 0	-47.4	NONE
9.7	41.0	64.0	833	200.0	114886	 0	-45.1	NONE
9.8	40.0	65.0	878	200.0	115119	 0	-39.7	NONE
9.9	41.0	65.0	735	200.0	109952	 0	-36.0	NONE
10.0	42.0	65.0	728	200.0	105482	 0	-37.3	NONE
10.1	43.0	63.0	724	200.0	99772	 0	-39.7	NONE
10.2	43.0	62.0	886	200.0	98651	 0	-44.2	NONE
10.3	42.0	62.0	773	200.0	99714	 0	-50.5	NONE
10.4	42.0	62.0	356	200.0	95061	 0	-54.5	NONE
10.5	42.0	60.0	234	200.0	97600	 0	-61.1	NONE
10.6	43.0	62.0	141	200.0	103493	 0	-64.4	NONE
10.7	43.0	200.0	141	200.0	99686	 0	-63.1	NONE
10.8	40.0	200.0	226	200.0	102411	 0	-59.5	NONE
10.9	38.0	200.0	330	200.0	98262	 0	-53.1	NONE
11.0	35.0	200.0	777	200.0	95374	 0	-44.2	NONE
11.1	36.0	72.0	874	200.0	93114	 0	-40.4	NONE
11.2	37.0	200.0	685	200.0	85810	 0	-39.7	NONE
11.3	38.0	200.0	666	200.0	77194	 0	-40.0	NONE
11.4	38.0	200.0	677	200.0	70722	 0	-40.0	NONE
11.5	38.0	200.0	718	200.0	67959	 0	-40.5	NONE
11.6	39.0	200.0	865	200.0	71083	 0	-41.9	NONE
11.7	39.0	200.0	804	200.0	68238	 0	-44.3	NONE
11.8	39.0	200.0	728	200.0	62589	 0	-47.0	NONE
11.9	39.0	200.0	708	200.0	58237	 0	-48.1	NONE
12.0	39.0	200.0	689	200.0	56626	 0	-48.5	NONE
12.1	38.0	200.0	679	200.0	55342	 0	-49.8	NONE
12.2	37.0	200.0	328	200.0	57104	 0	-52.4	NONE
12.3	37.0	200.0	302	200.0	57679	 0	-53.0	NONE
12.4	38.0	200.0	308	200.0	59760	 0	-50.8	NONE
12.5	36.0	200.0	654	200.0	59058	 0	-48.9	NONE
12.6	35.0	200.0	673	200.0	58533	 0	-47.6	NONE
12.7	35.0	200.0	679	200.0	54927	 0	-46.7	NONE
12.8	35.0	200.0	681	200.0	53689	 0	-46.1	NONE
12.9	35.0	200.0	687	200.0	52576	 0	-46.6	NONE
13.0	35.0	200.0	672	200.0	48163	 0	-46.9	NONE
13.1	34.0	200.0	667	200.0	39991	 0	-46.0	NONE
